data,state,hospitalized with symptoms,intensive_care,total_hospitilaized (Quarantined),home isolation(Infected),total_positive,,,Recovered,Death,total_cases,Tests Done,Exposed,d2 - death (Q),d1 - death (I),d3 - death (C),r1- recover I,r2 - recover Q,r3 - recover C
2020-02-24T18:00:00,ITA,101,26,127,94,221,,,1,7,229,4324,2703,0.05511811,0.074468085,,0.010638298,0.007874016,
2020-02-25T18:00:00,ITA,114,35,150,162,311,,,1,10,322,8623,5390,0.066666667,0.061728395,,0.00617284,0.006666667,
2020-02-26T18:00:00,ITA,128,36,164,221,385,,,3,12,400,9587,5992,0.073170732,0.054298643,,0.013574661,0.018292683,
2020-02-27T18:00:00,ITA,248,56,304,284,588,,,45,17,650,12014,7509,0.055921053,0.059859155,,0.158450704,0.148026316,
2020-02-28T18:00:00,ITA,345,64,409,412,821,,,46,21,888,15695,9810,0.051344743,0.050970874,,0.111650485,0.112469438,
2020-02-29T18:00:00,ITA,401,105,506,543,1049,,,50,29,1128,18661,11664,0.057312253,0.053406998,,0.092081031,0.098814229,
2020-03-01T18:00:00,ITA,639,140,779,798,1577,,,83,34,1694,21127,13205,0.0436457,0.042606516,,0.104010025,0.106546855,
2020-03-02T18:00:00,ITA,742,166,908,927,1835,,,149,52,2036,23345,14591,0.057268722,0.05609493,,0.160733549,0.164096916,
2020-03-03T18:00:00,ITA,1034,229,1263,1000,2263,,,160,79,2502,25856,16160,0.062549485,0.079,,0.16,0.126682502,
2020-03-04T18:00:00,ITA,1346,295,1641,1065,2706,,,276,107,3089,29837,18649,0.065204144,0.100469484,,0.25915493,0.168190128,
2020-03-05T18:00:00,ITA,1790,351,2141,1155,3296,,,414,148,3858,32362,20227,0.069126576,0.128138528,,0.358441558,0.193367585,
2020-03-06T18:00:00,ITA,2394,462,2856,1060,3916,,,523,197,4636,36359,22725,0.068977591,0.185849057,,0.493396226,0.183123249,
2020-03-07T18:00:00,ITA,2651,567,3218,1843,5061,,,589,233,5883,42062,26289,0.072405221,0.126424308,,0.319587629,0.18303294,
2020-03-08T18:00:00,ITA,3557,650,4207,2180,6387,,,622,366,7375,49937,31211,0.086997861,0.167889908,,0.285321101,0.147848823,
2020-03-09T18:00:00,ITA,4316,733,5049,2936,7985,,,724,463,9172,53826,33642,0.091701327,0.157697548,,0.246594005,0.143394732,
2020-03-10T18:00:00,ITA,5038,877,5915,2599,8514,,,1004,631,10149,60761,37976,0.106677937,0.242785687,,0.386302424,0.169737954,
2020-03-11T17:00:00,ITA,5838,1028,6866,3724,10590,,,1045,827,12462,73154,45722,0.120448587,0.22207304,,0.280612245,0.152199243,
2020-03-12T17:00:00,ITA,6650,1153,7803,5036,12839,,,1258,1016,15113,86011,53757,0.130206331,0.201747419,,0.24980143,0.161220044,
2020-03-13T17:00:00,ITA,7426,1328,8754,6201,14955,,,1439,1266,17660,97488,60930,0.144619602,0.204160619,,0.232059345,0.164381997,
